date,stock
20250310,000568.SZ
20250310,000596.SZ
20250310,000617.SZ
20250310,000625.SZ
20250310,000630.SZ
20250310,000651.SZ
20250310,000661.SZ
20250310,000708.SZ
20250310,000725.SZ
20250310,000768.SZ
20250310,000776.SZ
20250310,000786.SZ
20250310,000792.SZ
20250310,000800.SZ
20250310,000807.SZ
20250310,000858.SZ
20250310,000876.SZ
20250310,000895.SZ
20250310,000938.SZ
20250310,000963.SZ
20250310,000975.SZ
20250310,000977.SZ
20250310,000983.SZ
20250310,000999.SZ
20250310,001289.SZ
20250310,001965.SZ
20250310,001979.SZ
20250310,002001.SZ
20250310,002007.SZ
20250310,002027.SZ
20250310,002028.SZ
20250310,002049.SZ
20250310,002050.SZ
20250310,002074.SZ
20250310,002129.SZ
20250310,002142.SZ
20250310,002179.SZ
20250310,002180.SZ
20250310,002230.SZ
20250310,002236.SZ
20250310,002241.SZ
20250310,002252.SZ
20250310,002271.SZ
20250310,002304.SZ
20250310,002311.SZ
20250310,002352.SZ
20250310,002371.SZ
20250310,002415.SZ
20250310,002422.SZ
20250310,002459.SZ
20250310,002460.SZ
20250310,002463.SZ
20250310,002466.SZ
20250310,002475.SZ
20250310,002493.SZ
20250310,002555.SZ
20250310,002594.SZ
20250310,002601.SZ
20250310,002648.SZ
20250310,002709.SZ
20250310,002714.SZ
20250310,002736.SZ
20250310,002812.SZ
20250310,002916.SZ
20250310,002920.SZ
20250310,002938.SZ
20250310,003816.SZ
20250310,300014.SZ
20250310,300015.SZ
20250310,300033.SZ
20250310,300059.SZ
20250310,300122.SZ
20250310,300124.SZ
20250310,300274.SZ
20250310,300308.SZ
20250310,300316.SZ
20250310,300347.SZ
20250310,300394.SZ
20250310,300408.SZ
20250310,300413.SZ
20250310,300418.SZ
20250310,300433.SZ
20250310,300442.SZ
20250310,300450.SZ
20250310,300498.SZ
20250310,300502.SZ
20250310,300628.SZ
20250310,300661.SZ
20250310,300750.SZ
20250310,300759.SZ
20250310,300760.SZ
20250310,300782.SZ
20250310,300832.SZ
20250310,300896.SZ
20250310,300979.SZ
20250310,300999.SZ
20250310,301269.SZ
20250310,600000.SH
20250310,600009.SH
20250310,600010.SH
20250310,600011.SH
20250310,600015.SH
20250310,600016.SH
20250310,600018.SH
20250310,600019.SH
20250310,600023.SH
20250310,600025.SH
20250310,600026.SH
20250310,600027.SH
20250310,600028.SH
20250310,600029.SH
20250310,600030.SH
20250310,600031.SH
20250310,600036.SH
20250310,600039.SH
20250310,600048.SH
20250310,600050.SH
20250310,600061.SH
20250310,600066.SH
20250310,600085.SH
20250310,600089.SH
20250310,600104.SH
20250310,600111.SH
20250310,600115.SH
20250310,600150.SH
20250310,600160.SH
20250310,600161.SH
20250310,600176.SH
20250310,600183.SH
20250310,600188.SH
20250310,600196.SH
20250310,600219.SH
20250310,600233.SH
20250310,600276.SH
20250310,600309.SH
20250310,600332.SH
20250310,600346.SH
20250310,600362.SH
20250310,600372.SH
20250310,600377.SH
20250310,600406.SH
20250310,600415.SH
20250310,600426.SH
20250310,600436.SH
20250310,600438.SH
20250310,600460.SH
20250310,600482.SH
20250310,600489.SH
20250310,600515.SH
20250310,600519.SH
20250310,600547.SH
20250310,600570.SH
20250310,600584.SH
20250310,600585.SH
20250310,600588.SH
20250310,600600.SH
20250310,600660.SH
20250310,600674.SH
20250310,600690.SH
20250310,600741.SH
20250310,600745.SH
20250310,600760.SH
20250310,600795.SH
20250310,600803.SH
20250310,600809.SH
20250310,600845.SH
20250310,600875.SH
20250310,600886.SH
20250310,600887.SH
20250310,600893.SH
20250310,600900.SH
20250310,600905.SH
20250310,600918.SH
20250310,600919.SH
20250310,600926.SH
20250310,600938.SH
20250310,600941.SH
20250310,600958.SH
20250310,600989.SH
20250310,600999.SH
20250310,601006.SH
20250310,601009.SH
20250310,601012.SH
20250310,601021.SH
20250310,601058.SH
20250310,601059.SH
20250310,601066.SH
20250310,601088.SH
20250310,601100.SH
20250310,601111.SH
20250310,601117.SH
20250310,601127.SH
20250310,601136.SH
20250310,601138.SH
20250310,601166.SH
20250310,601169.SH
20250310,601186.SH
20250310,601211.SH
20250310,601225.SH
20250310,601229.SH
20250310,601236.SH
20250310,601238.SH
20250310,601288.SH
20250310,601318.SH
20250310,601319.SH
20250310,601328.SH
20250310,601336.SH
20250310,601360.SH
